Strain,Replicate,Condition,Well,15,30,45,60,75,90,105,120,135,150,165,180,195,225,240,255,270,285,300,315,330,345,360,375,390,405,420,435,450,465,480,495,510,525,540,555,570,600,615,630,645,660,675,690,705,720,735,750,765,780,795,810,825,840,855,870,885,900,915,930,945,975,990,1005,1020,1035,1050,1065,1080,1095,1110,1125,1140,1155,1170,1185,1200,1215,1230,1245,1260,1275,1290,1305,1320,1350,1365,1380,1395,1410,1425,1440,1455,1470,1485,1500,1515,1530,1545,1560,1575,1590,1605,1620,1635,1650,1665,1680,1695,1725,1740,1755,1770,1785,1800,1815,1830,1845,1860,1875,1890,1905,1920,1935,1950,1965,1980,1995,2010,2025,2040,2055,2070,2100,2115,2130,2145,2160,2175,2190,2205,2220,2235,2250,2265,2280,2295,2310,2325,2340,2355,2370,2385,2400,2415,2430,2445,2475,2490,2505,2520,2535,2550,2565,2580,2595,2610,2625,2640,2655,2670,2685,2700,2715,2730,2745,2760,2775,2790,2805,2820,2850,2865,2880,2895,2910,2925,2940,2955,2970,2985,3000,3015,3030,3045,3060,3075,3090,3105,3120,3135,3150,3165,3180,3195,3225,3240,3255,3270,3285,3300,3315,3330,3345,3360,3375,3390,3405,3420,3435,3450,3465,3480,3495,3510,3525,3540,3555,3570,3600,3615,3630,3645,3660,3675,3690,3705,3720,3735,3750,3765,3780,3795,3810,3825,3840,3855,3870,3885,3900,3915,3930,3945,3975,3990,4005,4020,4035,4050,4065,4080,4095,4110,4125,4140,4155,4170,4185,4200,4215,4230,4245,4260,4275,4290,4305,4320,4350,4365,4380,4395,4410,4425,4440,4455,4470,4485,4500,4515
Blank,rep1,0,A1,0.635,0.612,0.598,0.593,0.592,0.591,0.591,0.591,0.59,0.59,0.589,0.589,0.589,0.589,0.588,0.588,0.588,0.588,0.588,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.583,0.584,0.584,0.583,0.583,0.584,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.581,0.582,0.582,0.581,0.581,0.581,0.581,0.581,0.581,0.582,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581
PDB1_c1,rep1,10,A2,0.603,0.586,0.583,0.582,0.582,0.582,0.582,0.582,0.581,0.582,0.582,0.582,0.582,0.582,0.583,0.583,0.583,0.583,0.583,0.584,0.585,0.583,0.583,0.584,0.584,0.585,0.585,0.586,0.586,0.587,0.588,0.589,0.59,0.591,0.592,0.593,0.593,0.594,0.595,0.596,0.598,0.599,0.6,0.601,0.603,0.605,0.607,0.609,0.611,0.613,0.615,0.617,0.619,0.621,0.623,0.625,0.628,0.63,0.633,0.635,0.637,0.64,0.642,0.645,0.648,0.65,0.653,0.657,0.659,0.662,0.665,0.669,0.672,0.676,0.68,0.684,0.688,0.692,0.696,0.699,0.703,0.708,0.712,0.716,0.72,0.724,0.729,0.733,0.738,0.742,0.748,0.752,0.758,0.763,0.769,0.775,0.781,0.787,0.794,0.8,0.805,0.812,0.819,0.826,0.833,0.841,0.848,0.855,0.862,0.869,0.877,0.884,0.892,0.899,0.908,0.916,0.923,0.931,0.939,0.946,0.953,0.961,0.97,0.979,0.986,0.995,1.002,1.011,1.019,1.027,1.035,1.043,1.051,1.06,1.069,1.077,1.086,1.094,1.102,1.109,1.118,1.126,1.135,1.143,1.152,1.159,1.167,1.176,1.184,1.192,1.201,1.21,1.219,1.227,1.234,1.241,1.248,1.255,1.263,1.27,1.276,1.283,1.291,1.297,1.305,1.311,1.319,1.325,1.331,1.336,1.343,1.349,1.355,1.361,1.367,1.371,1.377,1.382,1.387,1.392,1.398,1.404,1.408,1.413,1.417,1.422,1.426,1.43,1.436,1.44,1.444,1.448,1.452,1.456,1.46,1.463,1.467,1.471,1.474,1.477,1.482,1.485,1.489,1.493,1.495,1.499,1.502,1.506,1.509,1.512,1.515,1.518,1.521,1.526,1.529,1.533,1.537,1.539,1.542,1.545,1.548,1.552,1.554,1.557,1.559,1.561,1.565,1.568,1.571,1.574,1.577,1.579,1.582,1.584,1.586,1.588,1.591,1.593,1.596,1.599,1.601,1.603,1.605,1.609,1.611,1.613,1.615,1.618,1.62,1.622,1.624,1.627,1.629,1.631,1.633,1.635,1.638,1.64,1.642,1.645,1.647,1.649,1.651,1.653,1.655,1.657,1.659,1.661,1.662,1.665,1.667,1.669,1.672,1.674,1.675,1.678,1.68,1.682,1.683,1.685,1.687,1.689,1.691,1.692,1.694,1.696,1.697,1.699,1.701
PDB1_c1,rep2,10,A3,0.605,0.589,0.586,0.585,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.585,0.585,0.585,0.585,0.585,0.585,0.586,0.586,0.587,0.588,0.586,0.586,0.586,0.587,0.587,0.588,0.589,0.589,0.59,0.591,0.592,0.592,0.593,0.594,0.596,0.598,0.6,0.601,0.603,0.604,0.605,0.607,0.608,0.609,0.611,0.612,0.614,0.615,0.617,0.619,0.621,0.623,0.624,0.626,0.628,0.629,0.631,0.634,0.637,0.639,0.641,0.644,0.647,0.649,0.652,0.655,0.657,0.66,0.663,0.666,0.669,0.673,0.677,0.68,0.684,0.687,0.691,0.696,0.7,0.703,0.707,0.711,0.715,0.72,0.724,0.729,0.733,0.736,0.741,0.746,0.751,0.756,0.762,0.767,0.773,0.778,0.784,0.79,0.796,0.805,0.806,0.812,0.818,0.823,0.83,0.841,0.846,0.852,0.858,0.866,0.873,0.885,0.893,0.897,0.905,0.913,0.921,0.929,0.942,0.947,0.955,0.964,0.97,0.977,0.987,0.996,1.003,1.014,1.023,1.031,1.04,1.054,1.057,1.064,1.075,1.084,1.094,1.104,1.114,1.124,1.132,1.142,1.151,1.161,1.172,1.181,1.193,1.202,1.212,1.218,1.227,1.237,1.245,1.255,1.264,1.273,1.282,1.292,1.301,1.308,1.318,1.326,1.334,1.342,1.35,1.359,1.366,1.374,1.382,1.389,1.397,1.405,1.412,1.419,1.426,1.432,1.438,1.444,1.45,1.456,1.461,1.467,1.473,1.477,1.482,1.486,1.491,1.496,1.5,1.505,1.509,1.515,1.518,1.522,1.526,1.53,1.533,1.536,1.54,1.544,1.548,1.553,1.557,1.56,1.563,1.567,1.57,1.573,1.577,1.58,1.583,1.585,1.589,1.592,1.595,1.598,1.601,1.603,1.606,1.609,1.612,1.615,1.618,1.621,1.624,1.626,1.629,1.631,1.634,1.637,1.64,1.643,1.645,1.647,1.649,1.652,1.654,1.657,1.66,1.663,1.664,1.666,1.669,1.672,1.674,1.676,1.678,1.679,1.681,1.683,1.686,1.688,1.69,1.692,1.695,1.697,1.699,1.701,1.703,1.705,1.707,1.709,1.711,1.713,1.715,1.717,1.719,1.721,1.722,1.725,1.727,1.728,1.73,1.732,1.734,1.736,1.738,1.74,1.741,1.743,1.744,1.746,1.748,1.75,1.752,1.753,1.755,1.757
PDB1_c2,rep1,10,A4,0.599,0.585,0.582,0.582,0.581,0.581,0.581,0.581,0.581,0.581,0.582,0.582,0.582,0.582,0.583,0.583,0.583,0.583,0.583,0.584,0.584,0.583,0.583,0.583,0.584,0.584,0.585,0.585,0.586,0.587,0.587,0.588,0.589,0.59,0.59,0.591,0.592,0.593,0.594,0.595,0.595,0.596,0.597,0.599,0.6,0.601,0.602,0.604,0.605,0.607,0.608,0.61,0.612,0.613,0.615,0.617,0.62,0.621,0.623,0.625,0.627,0.629,0.631,0.633,0.635,0.638,0.641,0.643,0.645,0.648,0.651,0.654,0.656,0.66,0.663,0.666,0.669,0.673,0.677,0.68,0.684,0.688,0.692,0.696,0.7,0.704,0.708,0.712,0.716,0.72,0.725,0.729,0.734,0.738,0.743,0.748,0.753,0.759,0.764,0.77,0.776,0.781,0.788,0.794,0.801,0.808,0.814,0.821,0.827,0.834,0.841,0.848,0.856,0.863,0.871,0.879,0.888,0.895,0.903,0.911,0.92,0.93,0.939,0.948,0.955,0.962,0.971,0.979,0.987,0.995,1.001,1.011,1.019,1.028,1.035,1.044,1.054,1.062,1.072,1.08,1.089,1.097,1.105,1.114,1.122,1.132,1.14,1.149,1.157,1.166,1.173,1.182,1.19,1.2,1.208,1.216,1.223,1.23,1.238,1.246,1.252,1.259,1.267,1.273,1.28,1.286,1.293,1.298,1.303,1.309,1.315,1.321,1.327,1.333,1.338,1.343,1.349,1.354,1.359,1.363,1.367,1.371,1.376,1.38,1.384,1.389,1.392,1.396,1.4,1.405,1.408,1.412,1.416,1.419,1.422,1.426,1.429,1.431,1.435,1.438,1.441,1.444,1.447,1.45,1.452,1.455,1.458,1.461,1.464,1.467,1.47,1.474,1.477,1.48,1.484,1.487,1.489,1.493,1.496,1.498,1.5,1.503,1.506,1.51,1.513,1.515,1.518,1.521,1.524,1.526,1.53,1.533,1.535,1.538,1.54,1.542,1.544,1.546,1.549,1.551,1.554,1.555,1.557,1.56,1.561,1.563,1.565,1.567,1.569,1.572,1.573,1.575,1.577,1.579,1.582,1.583,1.586,1.588,1.59,1.592,1.593,1.595,1.597,1.599,1.6,1.603,1.604,1.607,1.609,1.61,1.612,1.614,1.616,1.619,1.62,1.623,1.624,1.626,1.626,1.629,1.631,1.632,1.633,1.635,1.637,1.639,1.64,1.642,1.644
PDB1_c2,rep2,10,A5,0.601,0.587,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.585,0.585,0.585,0.585,0.585,0.586,0.586,0.586,0.586,0.586,0.587,0.586,0.585,0.586,0.586,0.587,0.587,0.588,0.589,0.59,0.591,0.592,0.593,0.594,0.594,0.595,0.596,0.597,0.598,0.598,0.599,0.6,0.601,0.602,0.603,0.604,0.606,0.607,0.608,0.61,0.611,0.613,0.614,0.616,0.618,0.62,0.622,0.624,0.625,0.627,0.629,0.631,0.633,0.635,0.638,0.64,0.642,0.645,0.647,0.649,0.652,0.654,0.657,0.659,0.662,0.665,0.668,0.672,0.675,0.678,0.682,0.685,0.689,0.693,0.697,0.701,0.705,0.708,0.712,0.716,0.72,0.724,0.728,0.733,0.737,0.742,0.746,0.751,0.756,0.761,0.766,0.772,0.778,0.783,0.789,0.795,0.802,0.808,0.815,0.821,0.827,0.833,0.84,0.848,0.855,0.862,0.869,0.876,0.884,0.892,0.899,0.908,0.915,0.923,0.93,0.938,0.945,0.955,0.962,0.97,0.978,0.986,0.994,1.002,1.01,1.018,1.027,1.035,1.044,1.052,1.061,1.07,1.077,1.087,1.095,1.104,1.113,1.121,1.129,1.139,1.147,1.155,1.164,1.172,1.181,1.19,1.199,1.207,1.214,1.223,1.23,1.238,1.246,1.254,1.261,1.267,1.274,1.281,1.288,1.295,1.301,1.308,1.315,1.321,1.327,1.335,1.341,1.347,1.354,1.36,1.366,1.372,1.378,1.383,1.387,1.393,1.399,1.403,1.408,1.412,1.416,1.421,1.425,1.428,1.433,1.437,1.441,1.445,1.448,1.452,1.456,1.46,1.465,1.468,1.472,1.475,1.479,1.482,1.486,1.489,1.493,1.497,1.501,1.505,1.509,1.513,1.515,1.519,1.522,1.526,1.529,1.533,1.535,1.538,1.541,1.543,1.547,1.551,1.553,1.556,1.559,1.561,1.565,1.567,1.569,1.571,1.574,1.577,1.579,1.581,1.583,1.586,1.588,1.59,1.593,1.595,1.598,1.6,1.602,1.605,1.607,1.609,1.61,1.612,1.614,1.616,1.619,1.621,1.624,1.625,1.628,1.63,1.632,1.634,1.636,1.638,1.639,1.642,1.643,1.645,1.647,1.649,1.651,1.653,1.654,1.656,1.658,1.659,1.661,1.663,1.664,1.665,1.668,1.67,1.672,1.674,1.675,1.676
PDB48_c1,rep1,10,A6,0.605,0.593,0.588,0.587,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.588,0.589,0.589,0.589,0.589,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.591,0.591,0.591,0.592,0.592,0.593,0.593,0.594,0.595,0.596,0.597,0.598,0.598,0.599,0.6,0.601,0.602,0.603,0.604,0.605,0.606,0.607,0.608,0.609,0.611,0.612,0.614,0.615,0.617,0.619,0.62,0.622,0.623,0.625,0.627,0.629,0.631,0.633,0.635,0.636,0.639,0.641,0.643,0.645,0.648,0.65,0.652,0.655,0.657,0.66,0.663,0.665,0.668,0.671,0.675,0.678,0.681,0.685,0.687,0.689,0.693,0.696,0.7,0.703,0.706,0.71,0.714,0.718,0.722,0.726,0.73,0.734,0.739,0.743,0.748,0.752,0.756,0.761,0.766,0.771,0.776,0.781,0.786,0.792,0.797,0.803,0.808,0.814,0.82,0.826,0.832,0.839,0.844,0.851,0.858,0.864,0.87,0.877,0.883,0.89,0.896,0.903,0.908,0.916,0.922,0.929,0.936,0.944,0.951,0.958,0.965,0.972,0.979,0.986,0.993,1.001,1.008,1.015,1.022,1.03,1.037,1.043,1.052,1.059,1.065,1.072,1.079,1.088,1.094,1.101,1.109,1.116,1.124,1.13,1.137,1.143,1.15,1.157,1.164,1.171,1.178,1.185,1.19,1.196,1.203,1.211,1.217,1.222,1.229,1.234,1.239,1.245,1.25,1.256,1.261,1.266,1.272,1.276,1.281,1.286,1.292,1.297,1.302,1.307,1.311,1.316,1.32,1.324,1.328,1.331,1.335,1.339,1.343,1.346,1.349,1.352,1.354,1.357,1.36,1.364,1.366,1.369,1.371,1.374,1.377,1.38,1.382,1.385,1.388,1.391,1.392,1.395,1.398,1.4,1.402,1.404,1.407,1.41,1.411,1.413,1.415,1.417,1.419,1.421,1.424,1.427,1.429,1.432,1.434,1.436,1.438,1.441,1.444,1.446,1.448,1.45,1.452,1.454,1.456,1.459,1.461,1.464,1.465,1.468,1.47,1.472,1.474,1.476,1.477,1.479,1.481,1.483,1.484,1.486,1.488,1.491,1.492,1.494,1.496,1.499,1.5,1.502,1.503,1.504,1.506,1.507,1.51,1.512,1.513,1.515,1.517,1.519,1.52,1.521,1.523,1.525,1.527,1.527,1.529,1.53,1.531,1.532,1.534,1.535
PDB48_c1,rep2,10,A7,0.593,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.584,0.585,0.585,0.585,0.585,0.586,0.586,0.586,0.586,0.586,0.586,0.587,0.587,0.586,0.586,0.587,0.587,0.588,0.588,0.589,0.59,0.59,0.591,0.592,0.593,0.594,0.595,0.596,0.596,0.597,0.598,0.599,0.6,0.601,0.602,0.603,0.604,0.606,0.607,0.609,0.61,0.612,0.613,0.615,0.617,0.619,0.62,0.622,0.624,0.626,0.628,0.631,0.633,0.635,0.637,0.64,0.642,0.645,0.648,0.65,0.653,0.656,0.659,0.662,0.665,0.668,0.671,0.675,0.678,0.682,0.686,0.69,0.694,0.697,0.701,0.705,0.709,0.714,0.718,0.723,0.727,0.732,0.737,0.742,0.747,0.753,0.758,0.763,0.768,0.774,0.78,0.787,0.793,0.799,0.805,0.812,0.819,0.826,0.834,0.841,0.848,0.855,0.863,0.871,0.878,0.886,0.894,0.902,0.91,0.918,0.928,0.936,0.945,0.953,0.962,0.969,0.979,0.988,0.998,1.006,1.013,1.021,1.031,1.04,1.048,1.058,1.066,1.074,1.084,1.093,1.102,1.111,1.121,1.13,1.139,1.148,1.158,1.167,1.176,1.185,1.195,1.204,1.214,1.222,1.23,1.24,1.247,1.256,1.265,1.272,1.28,1.288,1.296,1.304,1.313,1.32,1.329,1.336,1.344,1.351,1.358,1.364,1.371,1.377,1.383,1.392,1.398,1.404,1.41,1.416,1.422,1.427,1.433,1.437,1.442,1.446,1.452,1.456,1.461,1.466,1.471,1.475,1.479,1.483,1.487,1.491,1.495,1.499,1.502,1.507,1.512,1.515,1.518,1.523,1.526,1.529,1.533,1.537,1.541,1.544,1.548,1.551,1.555,1.559,1.562,1.565,1.568,1.571,1.574,1.576,1.58,1.582,1.585,1.588,1.591,1.594,1.597,1.6,1.603,1.605,1.607,1.611,1.613,1.616,1.619,1.622,1.624,1.626,1.629,1.631,1.634,1.637,1.64,1.642,1.644,1.647,1.649,1.652,1.654,1.656,1.658,1.66,1.662,1.665,1.667,1.669,1.671,1.673,1.676,1.678,1.679,1.681,1.684,1.685,1.687,1.689,1.691,1.693,1.694,1.697,1.698,1.7,1.702,1.705,1.706,1.708,1.71,1.712,1.714,1.715,1.717,1.718,1.72,1.722,1.723,1.725,1.726,1.727,1.729,1.731,1.732
PDB48_c2,rep1,10,A8,0.602,0.591,0.587,0.587,0.587,0.587,0.587,0.588,0.588,0.589,0.589,0.59,0.59,0.591,0.591,0.592,0.592,0.592,0.592,0.593,0.593,0.594,0.594,0.593,0.594,0.595,0.596,0.597,0.598,0.598,0.599,0.6,0.601,0.602,0.603,0.604,0.605,0.606,0.607,0.608,0.609,0.61,0.611,0.612,0.613,0.614,0.616,0.617,0.618,0.619,0.62,0.622,0.623,0.624,0.626,0.627,0.629,0.631,0.633,0.634,0.636,0.638,0.64,0.642,0.644,0.646,0.649,0.651,0.653,0.656,0.658,0.661,0.664,0.666,0.669,0.672,0.675,0.678,0.681,0.684,0.688,0.691,0.695,0.698,0.702,0.706,0.71,0.714,0.719,0.723,0.728,0.733,0.737,0.743,0.748,0.752,0.757,0.763,0.768,0.773,0.778,0.783,0.788,0.794,0.8,0.806,0.812,0.818,0.825,0.831,0.837,0.844,0.85,0.857,0.864,0.872,0.879,0.887,0.894,0.903,0.91,0.917,0.926,0.933,0.941,0.949,0.958,0.966,0.975,0.984,0.993,1.001,1.011,1.02,1.028,1.038,1.048,1.056,1.068,1.077,1.087,1.097,1.106,1.115,1.127,1.134,1.145,1.154,1.165,1.174,1.186,1.197,1.206,1.215,1.225,1.236,1.245,1.255,1.264,1.275,1.285,1.292,1.302,1.312,1.321,1.331,1.34,1.349,1.357,1.366,1.374,1.382,1.391,1.397,1.405,1.412,1.417,1.423,1.43,1.438,1.444,1.449,1.455,1.46,1.467,1.472,1.479,1.483,1.489,1.494,1.497,1.503,1.508,1.513,1.517,1.521,1.525,1.528,1.533,1.537,1.54,1.544,1.547,1.55,1.553,1.556,1.56,1.563,1.567,1.57,1.572,1.576,1.579,1.582,1.585,1.589,1.591,1.594,1.596,1.6,1.604,1.606,1.609,1.611,1.615,1.617,1.62,1.623,1.626,1.628,1.632,1.635,1.637,1.64,1.643,1.646,1.648,1.651,1.654,1.657,1.66,1.661,1.663,1.665,1.667,1.67,1.671,1.673,1.675,1.676,1.679,1.681,1.683,1.685,1.687,1.688,1.69,1.691,1.694,1.695,1.697,1.698,1.7,1.702,1.704,1.706,1.708,1.71,1.71,1.712,1.713,1.715,1.717,1.717,1.719,1.72,1.721,1.722,1.723,1.725,1.726,1.727,1.727,1.729,1.73,1.731,1.733,1.734,1.735
PDB48_c2,rep2,10,A9,0.59,0.579,0.578,0.578,0.578,0.579,0.579,0.579,0.579,0.58,0.58,0.581,0.581,0.581,0.582,0.582,0.582,0.583,0.584,0.584,0.586,0.59,0.59,0.591,0.592,0.594,0.595,0.597,0.596,0.598,0.599,0.6,0.601,0.602,0.604,0.605,0.606,0.607,0.61,0.611,0.612,0.613,0.614,0.617,0.618,0.62,0.621,0.623,0.624,0.627,0.628,0.631,0.633,0.635,0.638,0.641,0.643,0.646,0.648,0.652,0.654,0.657,0.661,0.664,0.667,0.671,0.675,0.678,0.682,0.686,0.689,0.694,0.698,0.703,0.707,0.712,0.717,0.722,0.728,0.733,0.738,0.744,0.75,0.756,0.762,0.768,0.774,0.78,0.788,0.793,0.799,0.806,0.812,0.819,0.826,0.834,0.841,0.849,0.857,0.866,0.871,0.88,0.89,0.898,0.908,0.917,0.927,0.937,0.946,0.957,0.967,0.977,0.989,0.999,1.01,1.02,1.03,1.042,1.053,1.067,1.077,1.09,1.101,1.113,1.125,1.137,1.149,1.161,1.169,1.181,1.192,1.203,1.214,1.225,1.237,1.251,1.261,1.274,1.286,1.296,1.307,1.318,1.33,1.344,1.354,1.365,1.378,1.388,1.4,1.412,1.42,1.431,1.44,1.45,1.46,1.471,1.481,1.488,1.498,1.508,1.517,1.527,1.536,1.544,1.553,1.561,1.569,1.576,1.585,1.594,1.601,1.607,1.614,1.621,1.628,1.635,1.641,1.648,1.653,1.659,1.664,1.67,1.675,1.679,1.684,1.69,1.694,1.7,1.704,1.709,1.713,1.718,1.723,1.728,1.732,1.736,1.74,1.743,1.747,1.751,1.754,1.758,1.761,1.764,1.767,1.771,1.773,1.777,1.78,1.783,1.785,1.788,1.79,1.794,1.797,1.8,1.801,1.805,1.807,1.809,1.812,1.814,1.817,1.819,1.822,1.824,1.827,1.828,1.831,1.833,1.835,1.837,1.838,1.841,1.843,1.845,1.847,1.849,1.851,1.852,1.853,1.856,1.859,1.86,1.863,1.863,1.866,1.867,1.869,1.871,1.873,1.874,1.876,1.878,1.879,1.881,1.882,1.884,1.886,1.887,1.889,1.89,1.892,1.893,1.896,1.896,1.898,1.899,1.901,1.902,1.904,1.905,1.907,1.907,1.909,1.91,1.911,1.913,1.914,1.916,1.917,1.918,1.919,1.92,1.921,1.922,1.924,1.925,1.926
